시군구코드,법정동코드,행정동코드,시도명,시군구명,법정동명,행정동명,적용시작일,적용만료일,lat,lng
11170,12800,625,서울특별시,용산구,한강로3가,한강로동,20080630,99991231,37.5281196,126.96920037042088
11305,10100,534,서울특별시,강북구,미아동,삼양동,20080630,99991231,37.5962736,127.1419836
11305,10100,555,서울특별시,강북구,미아동,송천동,20080630,99991231,37.5962736,127.1419836
11170,13100,685,서울특별시,용산구,한남동,한남동,20080630,99991231,37.5337549,127.0087002
11305,10100,545,서울특별시,강북구,미아동,송중동,20080630,99991231,37.5962736,127.1419836
11305,10100,575,서울특별시,강북구,미아동,삼각산동,20080630,99991231,37.5962736,127.1419836
11305,10300,645,서울특별시,강북구,수유동,우이동,20080630,99991231,37.5962736,127.1419836
11305,10400,645,서울특별시,강북구,우이동,우이동,20080630,99991231,37.6633918,127.0123909
11380,10800,625,서울특별시,은평구,역촌동,역촌동,20080602,99991231,37.605,126.91198
11410,10200,565,서울특별시,서대문구,충정로3가,충현동,20080506,99991231,37.5647995,126.9547025
11410,10400,565,서울특별시,서대문구,미근동,충현동,20080506,99991231,37.5647995,126.9547025
11410,10300,565,서울특별시,서대문구,합동,충현동,20080506,99991231,37.5647995,126.9547025
11410,11400,585,서울특별시,서대문구,신촌동,신촌동,20080506,99991231,37.5653217,126.93932156577756
11410,11500,585,서울특별시,서대문구,봉원동,신촌동,20080506,99991231,37.5962736,127.1419836
11410,11000,565,서울특별시,서대문구,북아현동,충현동,20080506,99991231,37.5647995,126.9547025
11410,11800,685,서울특별시,서대문구,홍은동,홍은제2동,20080506,99991231,37.5962736,127.1419836
11410,10100,565,서울특별시,서대문구,충정로2가,충현동,20080506,99991231,37.5647995,126.9547025
11410,11000,555,서울특별시,서대문구,북아현동,북아현동,20080506,99991231,37.55943405,126.95699202876715
11410,11600,585,서울특별시,서대문구,창천동,신촌동,20080506,99991231,37.55782365,126.93951705899232
11410,11200,585,서울특별시,서대문구,대현동,신촌동,20080506,99991231,37.5595829,126.94351
11410,11700,615,서울특별시,서대문구,연희동,연희동,20080506,99991231,37.5748813,126.92807915222315
11410,11100,655,서울특별시,서대문구,홍제동,홍제제2동,20080506,99991231,37.5962736,127.1419836
11410,11300,585,서울특별시,서대문구,대신동,신촌동,20080506,99991231,37.5595829,126.94351
11530,10300,595,서울특별시,구로구,가리봉동,가리봉동,20080501,99991231,37.4838745,126.8889756
11590,10500,605,서울특별시,동작구,흑석동,흑석동,20080201,99991231,37.50744,126.96505
11440,11000,660,서울특별시,마포구,노고산동,서교동,20080107,99991231,37.5962736,127.1419836
11440,10100,555,서울특별시,마포구,아현동,아현동,20080107,99991231,37.55395,126.95552
11440,10100,565,서울특별시,마포구,아현동,공덕동,20080107,99991231,37.5474308,126.95303946924224
11440,10900,555,서울특별시,마포구,염리동,아현동,20080107,99991231,37.5570431,126.9517119
11440,10400,565,서울특별시,마포구,도화동,공덕동,20080107,99991231,37.5962736,127.1419836
11440,10200,555,서울특별시,마포구,공덕동,아현동,20080107,99991231,37.55447855,126.95590954672757
11440,10300,565,서울특별시,마포구,신공덕동,공덕동,20080107,99991231,37.5962736,127.1419836
11440,10200,565,서울특별시,마포구,공덕동,공덕동,20080107,99991231,37.54771,126.95468
11440,12100,660,서울특별시,마포구,동교동,서교동,20080107,99991231,37.5541077,126.9200981
11350,10300,605,서울특별시,노원구,공릉동,공릉1.3동,20080101,99991231,37.5962736,127.1419836
11215,10500,847,서울특별시,광진구,자양동,자양제4동,20080101,99991231,37.5962736,127.1419836
11260,10100,575,서울특별시,중랑구,면목동,면목제3.8동,20080101,99991231,37.5829594,127.0880821
11350,10500,695,서울특별시,노원구,상계동,상계6.7동,20080101,99991231,37.5962736,127.1419836
11215,10600,840,서울특별시,광진구,노유동,자양제3동,20080101,20080804,37.5962736,127.1419836
11350,10500,665,서울특별시,노원구,상계동,상계3.4동,20080101,99991231,37.5962736,127.1419836
11215,10600,847,서울특별시,광진구,노유동,자양제4동,20080101,20080804,37.5962736,127.1419836
11260,10500,655,서울특별시,중랑구,망우동,망우본동,20080101,99991231,37.60440885,127.10765399600089
11260,10100,565,서울특별시,중랑구,면목동,면목본동,20080101,99991231,37.587364,127.087499
11290,10300,555,서울특별시,성북구,돈암동,삼선동,20071231,99991231,37.5962736,127.1419836
11290,13500,705,서울특별시,성북구,종암동,종암동,20071231,99991231,37.599025,127.035186
11290,10200,525,서울특별시,성북구,성북동1가,성북동,20071231,99991231,37.5910246,127.00328461925079
11290,13700,725,서울특별시,성북구,상월곡동,월곡제2동,20071231,99991231,37.5962736,127.1419836
11290,10500,555,서울특별시,성북구,동소문동2가,삼선동,20071231,99991231,37.5908535,127.0146619
11290,11500,555,서울특별시,성북구,삼선동5가,삼선동,20071231,99991231,37.5908535,127.0146619
11290,12000,575,서울특별시,성북구,동선동5가,동선동,20071231,99991231,37.59398735,127.02043610000001
11290,11900,575,서울특별시,성북구,동선동4가,동선동,20071231,99991231,37.59398735,127.02043610000001
11290,11800,575,서울특별시,성북구,동선동3가,동선동,20071231,99991231,37.59398735,127.02043610000001
11290,11700,575,서울특별시,성북구,동선동2가,동선동,20071231,99991231,37.59398735,127.02043610000001
11290,11600,575,서울특별시,성북구,동선동1가,동선동,20071231,99991231,37.59398735,127.02043610000001
11290,11100,555,서울특별시,성북구,삼선동1가,삼선동,20071231,99991231,37.5908535,127.0146619
11290,11000,575,서울특별시,성북구,동소문동7가,동선동,20071231,99991231,37.59398735,127.02043610000001
11290,10900,575,서울특별시,성북구,동소문동6가,동선동,20071231,99991231,37.59398735,127.02043610000001
11290,10800,555,서울특별시,성북구,동소문동5가,삼선동,20071231,99991231,37.5908535,127.0146619
11290,10600,555,서울특별시,성북구,동소문동3가,삼선동,20071231,99991231,37.5908535,127.0146619
11290,11400,555,서울특별시,성북구,삼선동4가,삼선동,20071231,99991231,37.5908535,127.0146619
11290,13900,810,서울특별시,성북구,석관동,석관동,20071231,99991231,37.60789,127.06116
11290,11300,555,서울특별시,성북구,삼선동3가,삼선동,20071231,99991231,37.5908535,127.0146619
11290,10300,575,서울특별시,성북구,돈암동,동선동,20071231,99991231,37.5962736,127.1419836
11290,10100,525,서울특별시,성북구,성북동,성북동,20071231,99991231,37.5910246,127.00328461925079
11290,11200,555,서울특별시,성북구,삼선동2가,삼선동,20071231,99991231,37.5908535,127.0146619
11290,10400,525,서울특별시,성북구,동소문동1가,성북동,20071231,99991231,37.5910246,127.00328461925079
11290,13400,685,서울특별시,성북구,길음동,길음제2동,20071231,99991231,37.5962736,127.1419836
11290,13600,385,서울특별시,성북구,하월곡동,길음제2동,20071231,99991231,37.5962736,127.1419836
11290,10700,525,서울특별시,성북구,동소문동4가,성북동,20071231,99991231,37.5910246,127.00328461925079
11290,13600,685,서울특별시,성북구,하월곡동,길음제2동,20071230,99991231,37.5962736,127.1419836
11380,11400,690,서울특별시,은평구,진관동,진관동,20070813,99991231,37.6388394,126.9294619
11380,11400,0,서울특별시,은평구,진관동,,20070813,99991231,37.5962736,127.1419836
11440,10400,585,서울특별시,마포구,도화동,도화동,20070101,99991231,37.5384174,126.9489663
