노선명,역명,lat,lng,line,name,code,index,승차총승객수,하차총승객수,next_column,총승객수
신림선,서울대벤처타운,37.4726842,126.9330027,nannannannannannannannannannannannannannannannannannannannannannannannannannannannannannan,서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운서울대벤처타운,0.0,606933465,282165,258575,606933765,540740
신림선,서울지방병무청,37.5056706,126.9225018,nannannannannannannannannannannannannannannannannannannannannannannannannannannannannannan,서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청서울지방병무청,0.0,606933465,87550,94592,606933765,182142
신림선,서원,37.4780537,126.9323211,nannannannannannannannannannannannannannannannannannannannannannannannannannannannannannan,서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원서원,0.0,606933465,102309,89346,606933765,191655
신림선,신림,37.484201,126.929715,02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선02호선,신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림신림,6900.0,606933465,50864,70568,606933765,121432
안산선,고잔,37.316777,126.823249,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔고잔,52710.0,606933465,272694,261245,606933765,533939
안산선,대야미,37.328467,126.917332,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미대야미,52560.0,606933465,149263,133173,606933765,282436
안산선,반월,37.312212,126.903524,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월반월,52590.0,606933465,128660,125237,606933765,253897
안산선,산본,37.358101,126.933274,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본산본,52530.0,606933465,482635,515705,606933765,998340
안산선,상록수,37.302795,126.866489,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수상록수,52620.0,606933465,473368,476585,606933765,949953
안산선,수리산,37.349801,126.925365,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산수리산,52890.0,606933465,121968,102156,606933765,224124
안산선,신길온천,37.338212,126.765844,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천신길온천,52800.0,606933465,60078,55203,606933765,115281
안산선,안산,37.327082,126.788532,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산안산,52770.0,606933465,369129,344733,606933765,713862
